subject,supertype
catalhoyuk#Esociformes,catalhoyuk#Actinopterygii
catalhoyuk#Esox,catalhoyuk#Esocidae
catalhoyuk#EsoxLucius,catalhoyuk#Esox
catalhoyuk#Ethmoid,catalhoyuk#PneumatizedBone
catalhoyuk#Euarchonta,catalhoyuk#Euarchontoglires
catalhoyuk#Euarchontoglires,catalhoyuk#Boreoeutheria
catalhoyuk#Eukaryota,catalhoyuk#CellularOrganisms
catalhoyuk#Eumuroidea,catalhoyuk#Muroidea
catalhoyuk#Eureptilia,catalhoyuk#Reptilia
catalhoyuk#Eutheria,catalhoyuk#Theria
catalhoyuk#Event,rdf-schema#Resource
catalhoyuk#ExcavationEvent,catalhoyuk#Event
catalhoyuk#ExcavationSpecialist,catalhoyuk#SocialPerson
catalhoyuk#ExtractionObject,catalhoyuk#PhysicalThing
catalhoyuk#Fabella,catalhoyuk#SesamoidBone
catalhoyuk#FallenRoof,catalhoyuk#Roof
catalhoyuk#FalseRib,catalhoyuk#Rib
catalhoyuk#Feature,catalhoyuk#SpatialEntity
catalhoyuk#Felidae,catalhoyuk#Feliformia
catalhoyuk#Feliformia,catalhoyuk#Carnivora
catalhoyuk#Felis,catalhoyuk#Felidae
catalhoyuk#FelisCatus,catalhoyuk#Felis
catalhoyuk#FelisSilvestris,catalhoyuk#Felis
catalhoyuk#Femur,catalhoyuk#LongBone
catalhoyuk#Fibula,catalhoyuk#LongBone
catalhoyuk#FifthCervicalVertebra,catalhoyuk#CervicalVertebra
catalhoyuk#FifthLumbarVertebra,catalhoyuk#LumbarVertebra
catalhoyuk#FifthMetacarpalBone,catalhoyuk#MetacarpalBone
catalhoyuk#FifthMetatarsalBone,catalhoyuk#MetatarsalBone
catalhoyuk#FifthRib,catalhoyuk#TypicalRib
catalhoyuk#FifthSacralVertebra,catalhoyuk#SacralVertebra
catalhoyuk#FifthThoracicVertebra,catalhoyuk#ThoracicVertebra
catalhoyuk#Fill,catalhoyuk#Layer
catalhoyuk#Find,catalhoyuk#ExtractionObject
catalhoyuk#FireInstallation,catalhoyuk#Feature
catalhoyuk#FireSpot,catalhoyuk#FireInstallation
catalhoyuk#FirstCoccygealVertebra,catalhoyuk#CoccygealVertebra
catalhoyuk#FirstLumbarVertebra,catalhoyuk#LumbarVertebra
catalhoyuk#FirstMandibularMolarTooth,catalhoyuk#MandibularMolarTooth
catalhoyuk#FirstMandibularPremolarTooth,catalhoyuk#MandibularPremolarTooth
catalhoyuk#FirstMaxillaryMolarTooth,catalhoyuk#MaxillaryMolarTooth
catalhoyuk#FirstMaxillaryPremolarTooth,catalhoyuk#MaxillaryPremolarTooth
catalhoyuk#FirstMetacarpalBone,catalhoyuk#MetacarpalBone
catalhoyuk#FirstMetatarsalBone,catalhoyuk#MetatarsalBone
catalhoyuk#FirstMolarTooth,catalhoyuk#MolarTooth
catalhoyuk#FirstPremolarTooth,catalhoyuk#PremolarTooth
catalhoyuk#FirstRib,catalhoyuk#AtypicalRib
catalhoyuk#FirstSacralVertebra,catalhoyuk#SacralVertebra
catalhoyuk#FirstThoracicVertebra,catalhoyuk#ThoracicVertebra
catalhoyuk#FlatBone,catalhoyuk#BoneOrgan
catalhoyuk#FloatingRib,catalhoyuk#FalseRib
catalhoyuk#Floor,catalhoyuk#Layer
catalhoyuk#FloorCutHollow,catalhoyuk#LadderEmplacement
catalhoyuk#FloorFeature,catalhoyuk#Feature
catalhoyuk#FlotationSample,catalhoyuk#Sample
catalhoyuk#Foundation,catalhoyuk#Feature
catalhoyuk#FourthCervicalVertebra,catalhoyuk#CervicalVertebra
catalhoyuk#FourthCoccygealVertebra,catalhoyuk#CoccygealVertebra
catalhoyuk#FourthLumbarVertebra,catalhoyuk#LumbarVertebra
catalhoyuk#FourthMetacarpalBone,catalhoyuk#MetacarpalBone
catalhoyuk#FourthMetatarsalBone,catalhoyuk#MetatarsalBone
catalhoyuk#FourthRib,catalhoyuk#TypicalRib
catalhoyuk#FourthSacralVertebra,catalhoyuk#SacralVertebra
catalhoyuk#FourthThoracicVertebra,catalhoyuk#ThoracicVertebra
catalhoyuk#FrontalBone,catalhoyuk#FlatBone
catalhoyuk#Gastropoda,catalhoyuk#Mollusca
catalhoyuk#Gazella,catalhoyuk#Bovidae
catalhoyuk#Gekkonidae,catalhoyuk#Gekkota
catalhoyuk#Gekkota,catalhoyuk#Squamata
